prompt_id,category,depth,byte_length,margin,estimate,anthropic_tokens,anthropic_ratio,anthropic_a1_pass
prereg-000,cjk_unicode,,246,2.5,615,103,5.971,PASS
prereg-001,cjk_unicode,,234,2.5,585,94,6.223,PASS
prereg-002,cjk_unicode,,234,2.5,585,94,6.223,PASS
prereg-003,cjk_unicode,,246,2.5,615,103,5.971,PASS
prereg-004,cjk_unicode,,259,2.5,648,101,6.416,PASS
prereg-005,cjk_unicode,,254,2.5,635,95,6.684,PASS
prereg-006,cjk_unicode,,246,2.5,615,103,5.971,PASS
prereg-007,cjk_unicode,,247,2.5,618,92,6.717,PASS
prereg-008,cjk_unicode,,239,2.5,598,100,5.980,PASS
prereg-009,cjk_unicode,,262,2.5,655,97,6.753,PASS
prereg-010,cjk_unicode,,234,2.5,585,94,6.223,PASS
prereg-011,cjk_unicode,,239,2.5,598,100,5.980,PASS
prereg-012,cjk_unicode,,247,2.5,618,92,6.717,PASS
prereg-013,cjk_unicode,,246,2.5,615,103,5.971,PASS
prereg-014,cjk_unicode,,247,2.5,618,92,6.717,PASS
prereg-015,source_code,,336,2.5,840,136,6.176,PASS
prereg-016,source_code,,399,2.5,998,136,7.338,PASS
prereg-017,source_code,,305,2.5,763,114,6.693,PASS
prereg-018,source_code,,305,2.5,763,114,6.693,PASS
prereg-019,source_code,,305,2.5,763,114,6.693,PASS
prereg-020,source_code,,336,2.5,840,136,6.176,PASS
prereg-021,source_code,,305,2.5,763,114,6.693,PASS
prereg-022,source_code,,399,2.5,998,136,7.338,PASS
prereg-023,source_code,,399,2.5,998,136,7.338,PASS
prereg-024,source_code,,336,2.5,840,136,6.176,PASS
prereg-025,math_unicode,,217,2.5,543,127,4.276,PASS
prereg-026,math_unicode,,239,2.5,598,139,4.302,PASS
prereg-027,math_unicode,,225,2.5,563,151,3.728,PASS
prereg-028,math_unicode,,209,2.5,523,141,3.709,PASS
prereg-029,math_unicode,,217,2.5,543,127,4.276,PASS
prereg-030,math_unicode,,230,2.5,575,135,4.259,PASS
prereg-031,math_unicode,,224,2.5,560,133,4.211,PASS
prereg-032,math_unicode,,230,2.5,575,135,4.259,PASS
prereg-033,math_unicode,,239,2.5,598,139,4.302,PASS
prereg-034,math_unicode,,223,2.5,558,129,4.326,PASS
prereg-035,base64_dense,,502,2.5,1255,422,2.974,PASS
prereg-036,base64_dense,,178,2.5,445,141,3.156,PASS
prereg-037,base64_dense,,170,2.5,425,141,3.014,PASS
prereg-038,base64_dense,,482,2.5,1205,415,2.904,PASS
prereg-039,base64_dense,,482,2.5,1205,415,2.904,PASS
prereg-040,base64_dense,,494,2.5,1235,422,2.927,PASS
prereg-041,base64_dense,,190,2.5,475,148,3.209,PASS
prereg-042,base64_dense,,502,2.5,1255,422,2.974,PASS
prereg-043,base64_dense,,502,2.5,1255,422,2.974,PASS
prereg-044,base64_dense,,170,2.5,425,141,3.014,PASS
prereg-045,base64_dense,,170,2.5,425,141,3.014,PASS
prereg-046,base64_dense,,482,2.5,1205,415,2.904,PASS
prereg-047,base64_dense,,190,2.5,475,148,3.209,PASS
prereg-048,base64_dense,,482,2.5,1205,415,2.904,PASS
prereg-049,base64_dense,,482,2.5,1205,415,2.904,PASS
prereg-050,mixed_script,,189,2.5,473,58,8.155,PASS
prereg-051,mixed_script,,173,2.5,433,59,7.339,PASS
prereg-052,mixed_script,,187,2.5,468,65,7.200,PASS
prereg-053,mixed_script,,187,2.5,468,65,7.200,PASS
prereg-054,mixed_script,,189,2.5,473,59,8.017,PASS
prereg-055,mixed_script,,189,2.5,473,58,8.155,PASS
prereg-056,mixed_script,,189,2.5,473,58,8.155,PASS
prereg-057,mixed_script,,187,2.5,468,65,7.200,PASS
prereg-058,mixed_script,,173,2.5,433,59,7.339,PASS
prereg-059,mixed_script,,173,2.5,433,59,7.339,PASS
prereg-060,rtl_mixed,,215,2.5,538,74,7.270,PASS
prereg-061,rtl_mixed,,230,2.5,575,73,7.877,PASS
prereg-062,rtl_mixed,,254,2.5,635,100,6.350,PASS
prereg-063,rtl_mixed,,230,2.5,575,73,7.877,PASS
prereg-064,rtl_mixed,,215,2.5,538,74,7.270,PASS
prereg-065,rtl_mixed,,254,2.5,635,100,6.350,PASS
prereg-066,rtl_mixed,,254,2.5,635,100,6.350,PASS
prereg-067,rtl_mixed,,254,2.5,635,100,6.350,PASS
prereg-068,rtl_mixed,,230,2.5,575,73,7.877,PASS
prereg-069,rtl_mixed,,230,2.5,575,73,7.877,PASS
prereg-070,nested_json_schema,4,4508,2.5,11270,1502,7.503,PASS
prereg-071,nested_json_schema,4,4535,2.5,11338,1517,7.474,PASS
prereg-072,nested_json_schema,4,4463,2.5,11158,1477,7.555,PASS
prereg-073,nested_json_schema,4,4517,2.5,11293,1507,7.494,PASS
prereg-074,nested_json_schema,4,4508,2.5,11270,1502,7.503,PASS
prereg-075,nested_json_schema,4,4454,2.5,11135,1472,7.565,PASS
prereg-076,nested_json_schema,4,4463,2.5,11158,1477,7.555,PASS
prereg-077,nested_json_schema,4,4517,2.5,11293,1507,7.494,PASS
prereg-078,nested_json_schema,4,4517,2.5,11293,1507,7.494,PASS
prereg-079,nested_json_schema,4,4481,2.5,11203,1487,7.534,PASS
prereg-080,nested_json_schema,6,18656,2.5,46640,6178,7.549,PASS
prereg-081,nested_json_schema,6,18566,2.5,46415,6128,7.574,PASS
prereg-082,nested_json_schema,6,18620,2.5,46550,6158,7.559,PASS
prereg-083,nested_json_schema,6,18746,2.5,46865,6228,7.525,PASS
prereg-084,nested_json_schema,6,18638,2.5,46595,6168,7.554,PASS
prereg-085,nested_json_schema,6,18620,2.5,46550,6158,7.559,PASS
prereg-086,nested_json_schema,6,18530,2.5,46325,6108,7.584,PASS
prereg-087,nested_json_schema,6,18728,2.5,46820,6218,7.530,PASS
prereg-088,nested_json_schema,6,18656,2.5,46640,6178,7.549,PASS
prereg-089,nested_json_schema,6,18566,2.5,46415,6128,7.574,PASS
prereg-090,nested_json_schema,8,75131,2.5,187828,24817,7.569,PASS
prereg-091,nested_json_schema,8,75203,2.5,188008,24857,7.564,PASS
prereg-092,nested_json_schema,8,75041,2.5,187603,24767,7.575,PASS
prereg-093,nested_json_schema,8,75257,2.5,188143,24887,7.560,PASS
prereg-094,nested_json_schema,8,75023,2.5,187558,24757,7.576,PASS
prereg-095,nested_json_schema,10,301248,2.5,753120,99493,7.570,PASS
prereg-096,nested_json_schema,10,300726,2.5,751815,99203,7.579,PASS
prereg-097,nested_json_schema,10,300870,2.5,752175,99283,7.576,PASS
prereg-098,nested_json_schema,10,301509,2.5,753773,99638,7.565,PASS
prereg-099,nested_json_schema,10,301086,2.5,752715,99403,7.572,PASS
